replicate	nipagin	time	OD	background	OD_corrected
a	0.2	0	0.094	0.092604167	0.001395833
a	0.02	0	0.094	0.092604167	0.001395833
a	0.002	0	0.097	0.092604167	0.004395833
a	0.0002	0	0.107	0.092604167	0.014395833
a	0.00002	0	0.105	0.092604167	0.012395833
a	0.000002	0	0.1	0.092604167	0.007395833
b	0.2	0	0.093	0.092604167	0.000395833
b	0.02	0	0.089	0.092604167	-0.003604167
b	0.002	0	0.091	0.092604167	-0.001604167
b	0.0002	0	0.1	0.092604167	0.007395833
b	0.00002	0	0.087	0.092604167	-0.005604167
b	0.000002	0	0.109	0.092604167	0.016395833
c	0.2	0	0.092	0.092604167	-0.000604167
c	0.02	0	0.089	0.092604167	-0.003604167
c	0.002	0	0.108	0.092604167	0.015395833
c	0.0002	0	0.101	0.092604167	0.008395833
c	0.00002	0	0.093	0.092604167	0.000395833
c	0.000002	0	0.093	0.092604167	0.000395833
d	0.2	0	0.09	0.092604167	-0.002604167
d	0.02	0	0.086	0.092604167	-0.006604167
d	0.002	0	0.085	0.092604167	-0.007604167
d	0.0002	0	0.087	0.092604167	-0.005604167
d	0.00002	0	0.092	0.092604167	-0.000604167
d	0.000002	0	0.097	0.092604167	0.004395833
e	0.2	0	0.099	0.092604167	0.006395833
e	0.02	0	0.088	0.092604167	-0.004604167
e	0.002	0	0.086	0.092604167	-0.006604167
e	0.0002	0	0.089	0.092604167	-0.003604167
e	0.00002	0	0.085	0.092604167	-0.007604167
e	0.000002	0	0.096	0.092604167	0.003395833
f	0.2	0	0.096	0.092604167	0.003395833
f	0.02	0	0.093	0.092604167	0.000395833
f	0.002	0	0.085	0.092604167	-0.007604167
f	0.0002	0	0.091	0.092604167	-0.001604167
f	0.00002	0	0.087	0.092604167	-0.005604167
f	0.000002	0	0.097	0.092604167	0.004395833
g	0.2	0	0.09	0.092604167	-0.002604167
g	0.02	0	0.087	0.092604167	-0.005604167
g	0.002	0	0.085	0.092604167	-0.007604167
g	0.0002	0	0.088	0.092604167	-0.004604167
g	0.00002	0	0.086	0.092604167	-0.006604167
g	0.000002	0	0.094	0.092604167	0.001395833
h	0.2	0	0.09	0.092604167	-0.002604167
h	0.02	0	0.086	0.092604167	-0.006604167
h	0.002	0	0.09	0.092604167	-0.002604167
h	0.0002	0	0.091	0.092604167	-0.001604167
h	0.00002	0	0.089	0.092604167	-0.003604167
h	0.000002	0	0.098	0.092604167	0.005395833
a	0.2	1	0.094	0.092604167	0.001395833
a	0.02	1	0.095	0.092604167	0.002395833
a	0.002	1	0.097	0.092604167	0.004395833
a	0.0002	1	0.105	0.092604167	0.012395833
a	0.00002	1	0.104	0.092604167	0.011395833
a	0.000002	1	0.1	0.092604167	0.007395833
b	0.2	1	0.093	0.092604167	0.000395833
b	0.02	1	0.089	0.092604167	-0.003604167
b	0.002	1	0.091	0.092604167	-0.001604167
b	0.0002	1	0.099	0.092604167	0.006395833
b	0.00002	1	0.087	0.092604167	-0.005604167
b	0.000002	1	0.108	0.092604167	0.015395833
c	0.2	1	0.092	0.092604167	-0.000604167
c	0.02	1	0.09	0.092604167	-0.002604167
c	0.002	1	0.105	0.092604167	0.012395833
c	0.0002	1	0.1	0.092604167	0.007395833
c	0.00002	1	0.094	0.092604167	0.001395833
c	0.000002	1	0.094	0.092604167	0.001395833
d	0.2	1	0.09	0.092604167	-0.002604167
d	0.02	1	0.085	0.092604167	-0.007604167
d	0.002	1	0.084	0.092604167	-0.008604167
d	0.0002	1	0.086	0.092604167	-0.006604167
d	0.00002	1	0.093	0.092604167	0.000395833
d	0.000002	1	0.097	0.092604167	0.004395833
e	0.2	1	0.099	0.092604167	0.006395833
e	0.02	1	0.089	0.092604167	-0.003604167
e	0.002	1	0.086	0.092604167	-0.006604167
e	0.0002	1	0.089	0.092604167	-0.003604167
e	0.00002	1	0.085	0.092604167	-0.007604167
e	0.000002	1	0.096	0.092604167	0.003395833
f	0.2	1	0.096	0.092604167	0.003395833
f	0.02	1	0.093	0.092604167	0.000395833
f	0.002	1	0.085	0.092604167	-0.007604167
f	0.0002	1	0.089	0.092604167	-0.003604167
f	0.00002	1	0.087	0.092604167	-0.005604167
f	0.000002	1	0.099	0.092604167	0.006395833
g	0.2	1	0.09	0.092604167	-0.002604167
g	0.02	1	0.086	0.092604167	-0.006604167
g	0.002	1	0.085	0.092604167	-0.007604167
g	0.0002	1	0.088	0.092604167	-0.004604167
g	0.00002	1	0.085	0.092604167	-0.007604167
g	0.000002	1	0.094	0.092604167	0.001395833
h	0.2	1	0.09	0.092604167	-0.002604167
h	0.02	1	0.086	0.092604167	-0.006604167
h	0.002	1	0.089	0.092604167	-0.003604167
h	0.0002	1	0.091	0.092604167	-0.001604167
h	0.00002	1	0.089	0.092604167	-0.003604167
h	0.000002	1	0.097	0.092604167	0.004395833
a	0.2	2	0.094	0.092604167	0.001395833
a	0.02	2	0.094	0.092604167	0.001395833
