nipagin	pathogen	OD600	OD600_factor	change	vials_with_dead_larvae	more_than_5_pupae	total_vials
with_nipagin	no	0	sham	1	0	5	5
without_nipagin	no	0	sham	1	0	5	5
with_nipagin	yes	50	OD_=_50	1	2	5	5
without_nipagin	yes	50	OD_=_50	1	2	0	5
with_nipagin	yes	1	OD_=_1	1	0	5	5
without_nipagin	yes	1	OD_=_1	1	5	0	5
with_nipagin	yes	0.01	OD_=_0.01	1	0	5	5
without_nipagin	yes	0.01	OD_=_0.01	1	4	1	5
with_nipagin	yes	0.0001	OD_=_0.0001	1	0	5	5
without_nipagin	yes	0.0001	OD_=_0.0001	1	5	0	5
with_nipagin	no	0	sham	2	0	5	5
without_nipagin	no	0	sham	2	0	5	5
with_nipagin	yes	50	OD_=_50	2	3	0	5
without_nipagin	yes	50	OD_=_50	2	2	0	2
with_nipagin	yes	1	OD_=_1	2	0	5	5
without_nipagin	yes	1	OD_=_1	2	5	0	5
with_nipagin	yes	0.01	OD_=_0.01	2	0	5	5
without_nipagin	yes	0.01	OD_=_0.01	2	5	0	5
with_nipagin	yes	0.0001	OD_=_0.0001	2	0	5	5
without_nipagin	yes	0.0001	OD_=_0.0001	2	5	0	5
with_nipagin	no	0	sham	3	0	5	5
without_nipagin	no	0	sham	3	0	5	5
with_nipagin	yes	50	OD_=_50	3	1	2	5
without_nipagin	yes	50	OD_=_50	3	0	0	2
with_nipagin	yes	1	OD_=_1	3	0	5	5
without_nipagin	yes	1	OD_=_1	3	5	0	5
with_nipagin	yes	0.01	OD_=_0.01	3	0	5	5
without_nipagin	yes	0.01	OD_=_0.01	3	5	0	5
with_nipagin	yes	0.0001	OD_=_0.0001	3	0	5	5
without_nipagin	yes	0.0001	OD_=_0.0001	3	5	0	5
with_nipagin	no	0	sham	4	0	5	5
without_nipagin	no	0	sham	4	0	5	5
with_nipagin	yes	50	OD_=_50	4	2	0	4
without_nipagin	yes	50	OD_=_50	4	0	0	2
with_nipagin	yes	1	OD_=_1	4	0	5	5
without_nipagin	yes	1	OD_=_1	4	5	0	5
with_nipagin	yes	0.01	OD_=_0.01	4	0	5	5
without_nipagin	yes	0.01	OD_=_0.01	4	5	0	5
with_nipagin	yes	0.0001	OD_=_0.0001	4	0	5	5
without_nipagin	yes	0.0001	OD_=_0.0001	4	3	2	5
with_nipagin	no	0	sham	5	0	5	5
without_nipagin	no	0	sham	5	0	5	5
with_nipagin	yes	50	OD_=_50	5	0	0	4
without_nipagin	yes	50	OD_=_50	5	0	0	1
with_nipagin	yes	1	OD_=_1	5	0	5	5
without_nipagin	yes	1	OD_=_1	5	5	0	5
with_nipagin	yes	0.01	OD_=_0.01	5	0	5	5
without_nipagin	yes	0.01	OD_=_0.01	5	5	0	5
with_nipagin	yes	0.0001	OD_=_0.0001	5	0	5	5
without_nipagin	yes	0.0001	OD_=_0.0001	5	4	1	5
with_nipagin	no	0	sham	6	0	5	5
without_nipagin	no	0	sham	6	0	5	5
with_nipagin	yes	50	OD_=_50	6	0	0	4
without_nipagin	yes	50	OD_=_50	6	0	0	0
with_nipagin	yes	1	OD_=_1	6	0	5	5
without_nipagin	yes	1	OD_=_1	6	5	0	5
with_nipagin	yes	0.01	OD_=_0.01	6	0	5	5
without_nipagin	yes	0.01	OD_=_0.01	6	5	0	5
with_nipagin	yes	0.0001	OD_=_0.0001	6	0	5	5
without_nipagin	yes	0.0001	OD_=_0.0001	6	3	1	5
