ID	nipagin	pathogen	OD600	OD600_factor	vial_change	replicate	time	dilution_1	dilution_10	dilution_20	dilution_100	dilution_400	CFU_per_fly
1	with_nipagin	sham	0	sham	daily_change	a	24	0	0	NA	0	NA	0
2	with_nipagin	sham	0	sham	daily_change	b	24	0	0	NA	0	NA	0
3	with_nipagin	sham	0	sham	daily_change	c	24	0	0	NA	0	NA	0
26	without_nipagin	sham	0	sham	daily_change	a	24	0	0	NA	0	NA	0
27	without_nipagin	sham	0	sham	daily_change	b	24	0	0	NA	0	NA	0
28	without_nipagin	sham	0	sham	daily_change	c	24	0	0	NA	0	NA	0
51	with_nipagin	sham	0	sham	no_change	a	24	0	0	NA	0	NA	0
52	with_nipagin	sham	0	sham	no_change	b	24	0	0	NA	0	NA	0
53	with_nipagin	sham	0	sham	no_change	c	24	0	0	NA	0	NA	0
76	without_nipagin	sham	0	sham	no_change	a	24	0	0	NA	0	NA	0
77	without_nipagin	sham	0	sham	no_change	b	24	0	0	NA	0	NA	0
78	without_nipagin	sham	0	sham	no_change	c	24	0	0	NA	0	NA	0
6	with_nipagin	Pe	0.0001	OD_=_0.0001	daily_change	a	24	2	0	NA	0	NA	40
7	with_nipagin	Pe	0.0001	OD_=_0.0001	daily_change	b	24	0	0	NA	0	NA	0
8	with_nipagin	Pe	0.0001	OD_=_0.0001	daily_change	c	24	2	0	NA	0	NA	40
31	without_nipagin	Pe	0.0001	OD_=_0.0001	daily_change	a	24	3	0	NA	0	NA	60
32	without_nipagin	Pe	0.0001	OD_=_0.0001	daily_change	b	24	15	0	NA	0	NA	300
33	without_nipagin	Pe	0.0001	OD_=_0.0001	daily_change	c	24	1	0	NA	0	NA	20
56	with_nipagin	Pe	0.0001	OD_=_0.0001	no_change	a	24	2	0	NA	0	NA	40
57	with_nipagin	Pe	0.0001	OD_=_0.0001	no_change	b	24	0	0	NA	0	NA	0
58	with_nipagin	Pe	0.0001	OD_=_0.0001	no_change	c	24	0	0	NA	0	NA	0
81	without_nipagin	Pe	0.0001	OD_=_0.0001	no_change	a	24	21	4	NA	0	NA	420
82	without_nipagin	Pe	0.0001	OD_=_0.0001	no_change	b	24	1	0	NA	0	NA	20
83	without_nipagin	Pe	0.0001	OD_=_0.0001	no_change	c	24	8	0	NA	0	NA	160
11	with_nipagin	Pe	0.01	OD_=_0.01	daily_change	a	24	14	3	NA	0	NA	280
12	with_nipagin	Pe	0.01	OD_=_0.01	daily_change	b	24	0	0	NA	0	NA	0
13	with_nipagin	Pe	0.01	OD_=_0.01	daily_change	c	24	7	0	NA	0	NA	140
36	without_nipagin	Pe	0.01	OD_=_0.01	daily_change	a	24	24	1	NA	0	NA	480
37	without_nipagin	Pe	0.01	OD_=_0.01	daily_change	b	24	15	0	NA	0	NA	300
38	without_nipagin	Pe	0.01	OD_=_0.01	daily_change	c	24	29	0	NA	0	NA	580
61	with_nipagin	Pe	0.01	OD_=_0.01	no_change	a	24	10	0	NA	0	NA	200
62	with_nipagin	Pe	0.01	OD_=_0.01	no_change	b	24	1	0	NA	0	NA	20
63	with_nipagin	Pe	0.01	OD_=_0.01	no_change	c	24	24	0	NA	0	NA	480
86	without_nipagin	Pe	0.01	OD_=_0.01	no_change	a	24	15	0	NA	0	NA	300
87	without_nipagin	Pe	0.01	OD_=_0.01	no_change	b	24	36	6	NA	0	NA	720
88	without_nipagin	Pe	0.01	OD_=_0.01	no_change	c	24	11	3	NA	0	NA	220
16	with_nipagin	Pe	1	OD_=_1	daily_change	a	24	32	2	NA	0	NA	640
