ID	infection	food	replicate	time	dilution_1	dilution_20	dilution_400	dilution_8000	CFU_per_fly	alive_flies	total_flies
1	sham	T2	1	148	0	0	0	0	0	7	8
2	sham	T2	2	148	0	0	0	0	0	8	8
3	sham	T2	3	148	0	0	0	0	0	8	8
4	sham	T2	4	148	0	0	0	0	0	8	8
5	sham	T2	5	148	0	0	0	0	0	8	8
6	sham	T2	6	148	0	0	0	0	0	8	8
7	sham	T2	7	148	0	0	0	0	0	8	8
8	sham	T2	8	148	0	0	0	0	0	8	8
9	sham	T2	9	148	0	0	0	0	0	7	8
10	sham	T2	10	148	0	0	0	0	0	8	8
11	P_entomophila	T2	1	148	0	0	0	0	0	8	8
12	P_entomophila	T2	2	148	NA	NA	NA	118	75520000	1	8
13	P_entomophila	T2	3	148	0	0	0	0	0	5	8
14	P_entomophila	T2	4	148	0	0	0	0	0	8	8
15	P_entomophila	T2	5	148	2	0	0	0	160	7	8
16	P_entomophila	T2	6	148	NA	NA	NA	18	11520000	5	8
17	P_entomophila	T2	7	148	NA	NA	17	0	544000	6	8
18	P_entomophila	T2	8	148	NA	20	0	0	32000	5	8
19	P_entomophila	T2	9	148	0	0	0	0	0	7	8
20	P_entomophila	T2	10	148	NA	NA	NA	19	12160000	1	8
