ID	infection	food	replicate	time	dead_flies	alive_flies	total_flies
1	sham	T2	1	0	0	8	8
2	sham	T2	2	0	0	8	8
3	sham	T2	3	0	0	8	8
4	sham	T2	4	0	0	8	8
5	sham	T2	5	0	0	8	8
6	sham	T2	6	0	0	8	8
7	sham	T2	7	0	0	8	8
8	sham	T2	8	0	0	8	8
9	sham	T2	9	0	0	8	8
10	sham	T2	10	0	0	8	8
11	P_entomophila	T2	1	0	0	8	8
12	P_entomophila	T2	2	0	0	8	8
13	P_entomophila	T2	3	0	0	8	8
14	P_entomophila	T2	4	0	0	8	8
15	P_entomophila	T2	5	0	0	8	8
16	P_entomophila	T2	6	0	0	8	8
17	P_entomophila	T2	7	0	0	8	8
18	P_entomophila	T2	8	0	0	8	8
19	P_entomophila	T2	9	0	0	8	8
20	P_entomophila	T2	10	0	0	8	8
1	sham	T2	1	27	0	8	8
2	sham	T2	2	27	0	8	8
3	sham	T2	3	27	0	8	8
4	sham	T2	4	27	0	8	8
5	sham	T2	5	27	0	8	8
6	sham	T2	6	27	0	8	8
7	sham	T2	7	27	0	8	8
8	sham	T2	8	27	0	8	8
9	sham	T2	9	27	0	8	8
10	sham	T2	10	27	0	8	8
11	P_entomophila	T2	1	27	0	8	8
12	P_entomophila	T2	2	27	0	8	8
13	P_entomophila	T2	3	27	2	6	8
14	P_entomophila	T2	4	27	0	8	8
15	P_entomophila	T2	5	27	0	8	8
16	P_entomophila	T2	6	27	0	8	8
17	P_entomophila	T2	7	27	0	8	8
18	P_entomophila	T2	8	27	1	7	8
19	P_entomophila	T2	9	27	1	7	8
20	P_entomophila	T2	10	27	0	8	8
1	sham	T2	1	100	1	7	8
2	sham	T2	2	100	0	8	8
3	sham	T2	3	100	0	8	8
4	sham	T2	4	100	0	8	8
5	sham	T2	5	100	0	8	8
6	sham	T2	6	100	0	8	8
7	sham	T2	7	100	0	8	8
8	sham	T2	8	100	0	8	8
9	sham	T2	9	100	1	7	8
10	sham	T2	10	100	0	8	8
11	P_entomophila	T2	1	100	0	8	8
12	P_entomophila	T2	2	100	2	6	8
13	P_entomophila	T2	3	100	3	5	8
14	P_entomophila	T2	4	100	0	8	8
15	P_entomophila	T2	5	100	1	7	8
16	P_entomophila	T2	6	100	0	8	8
17	P_entomophila	T2	7	100	0	8	8
18	P_entomophila	T2	8	100	2	6	8
19	P_entomophila	T2	9	100	1	7	8
20	P_entomophila	T2	10	100	1	7	8
1	sham	T2	1	120	1	7	8
2	sham	T2	2	120	0	8	8
3	sham	T2	3	120	0	8	8
4	sham	T2	4	120	0	8	8
5	sham	T2	5	120	0	8	8
6	sham	T2	6	120	0	8	8
7	sham	T2	7	120	0	8	8
8	sham	T2	8	120	0	8	8
9	sham	T2	9	120	1	7	8
10	sham	T2	10	120	0	8	8
11	P_entomophila	T2	1	120	0	8	8
12	P_entomophila	T2	2	120	4	4	8
13	P_entomophila	T2	3	120	3	5	8
14	P_entomophila	T2	4	120	0	8	8
15	P_entomophila	T2	5	120	1	7	8
16	P_entomophila	T2	6	120	0	8	8
17	P_entomophila	T2	7	120	0	8	8
18	P_entomophila	T2	8	120	2	6	8
19	P_entomophila	T2	9	120	1	7	8
20	P_entomophila	T2	10	120	2	6	8
1	sham	T2	1	148	1	7	8
2	sham	T2	2	148	0	8	8
3	sham	T2	3	148	0	8	8
4	sham	T2	4	148	0	8	8
5	sham	T2	5	148	0	8	8
6	sham	T2	6	148	0	8	8
7	sham	T2	7	148	0	8	8
8	sham	T2	8	148	0	8	8
9	sham	T2	9	148	1	7	8
10	sham	T2	10	148	0	8	8
11	P_entomophila	T2	1	148	0	8	8
12	P_entomophila	T2	2	148	7	1	8
13	P_entomophila	T2	3	148	3	5	8
14	P_entomophila	T2	4	148	0	8	8
15	P_entomophila	T2	5	148	1	7	8
16	P_entomophila	T2	6	148	3	5	8
17	P_entomophila	T2	7	148	2	6	8
18	P_entomophila	T2	8	148	3	5	8
19	P_entomophila	T2	9	148	1	7	8
20	P_entomophila	T2	10	148	7	1	8
